uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
90,BZV/P,BZV/P-verhouding,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
91,CZV/N,CZV/N-verhouding,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
92,Deelgewicht 1,Gewicht fles 1 (neerslagwater),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,81,,
93,Deelgewicht 2,Gewicht fles 2 (neerslagwater),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,81,,
94,Bem verschil,Verschil tss wegingen bemonsterde filter,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
95,Bem gem,Gemiddelde vd wegingen bemonsterde filter,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
96,NC10-20,Deeltjesaantal 10-20 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
97,NC20-30,Deeltjesaantal 20-30 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
98,NC30-50,Deeltjesaantal 30-50 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
99,NC50-70,Deeltjesaantal 50-70 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
100,NC70-100,Deeltjesaantal 70-100 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
101,NC100-200,Deeltjesaantal 100-200 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
102,NC200-500,Deeltjesaantal 200-500 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
103,NC200-1000,Deeltjesaantal 200-1000 nm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
104,MUC-EC 20,"Geleidbaarheid (20°C), MUC project",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
105,MUCd-EC 20,"Geleidbaarheid (20°C), MUC project",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
106,Gran<125,Korrelgrootte distributie <125µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
107,Gran<250,Korrelgrootte distributie <250µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
108,Gran<500,Korrelgrootte distributie <500µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
109,Gran<1000,Korrelgrootte distributie <1000µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
110,Gran<2000,Korrelgrootte distributie <2000µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
111,pH na ZW,pH na Zahn Wellens,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,76,,
112,EC 25 na ZW,Geleidbaarheid (25°C) na Zahn Wellens,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
113,H t na ZW,"Hardheid, totaal na Zahn Wellens",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,15,,
114,Gran<20,Korrelgrootte distributie <20µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
115,ZS rendement,Rendement ZS ten opzichte van influentbelasting,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
conceptscheme:fysico-chemische-eigenschap,,Codelijst fysico-chemische eigenschappen,,,,,,,omg_dataset:codelijst-fysico-chemische-eigenschap,
117,,Pid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
118,,Vochtgehalte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
119,,Hydrologisch type,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
120,,Regime hydrostratigrafie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
121,,Vertikale doorlatendheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
122,,Horizontale doorlatendheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
123,,Geur - Solventen,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
124,,Geur - Minerale Olie,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
125,,Geur - Ondefinieerbaar,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
126,,Geur - Amoniak,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
127,,Geur - Brandstofachtige,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
128,,Geur - Benzine,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
129,,Geur - Carbolineum,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
130,,Geur - Chemisch,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
131,,Geur - Chloor,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
132,,Geur - Condensaat,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
133,,Geur - Diesel,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
134,,Geur - Glycol,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
135,,Geur - Olie aromaten,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
136,,Geur - Olie,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
137,,Geur - Petroleum,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
138,,Geur - Rotting,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,27,,
