type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0099,2080,NC50-70,Deeltjesaantal 50-70 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0100,2081,NC70-100,Deeltjesaantal 70-100 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0101,2082,NC100-200,Deeltjesaantal 100-200 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0102,2083,NC200-500,Deeltjesaantal 200-500 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0103,2084,NC200-1000,Deeltjesaantal 200-1000 nm,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0104,2087,MUC-EC 20,"Geleidbaarheid (20°C), MUC project",,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0105,2088,MUCd-EC 20,"Geleidbaarheid (20°C), MUC project",,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0106,2093,Gran<125,Korrelgrootte distributie <125µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0107,2094,Gran<250,Korrelgrootte distributie <250µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0108,2095,Gran<500,Korrelgrootte distributie <500µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0109,2096,Gran<1000,Korrelgrootte distributie <1000µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0110,2097,Gran<2000,Korrelgrootte distributie <2000µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0111,2116,pH na ZW,pH na Zahn Wellens,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0076
skos:Concept,cf:0112,2117,EC 25 na ZW,Geleidbaarheid (25°C) na Zahn Wellens,,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0113,2118,H t na ZW,"Hardheid, totaal na Zahn Wellens",,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0015
skos:Concept,cf:0114,2142,Gran<20,Korrelgrootte distributie <20µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0115,1671,ZS rendement,Rendement ZS ten opzichte van influentbelasting,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:ConceptScheme,vlcs:fysico-chemisch,,,Codelijst fysico-chemische eigenschappen,,,,,,
skos:Concept,cf:0117,,,Pid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0118,,,Vochtgehalte,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0119,,,Hydrologisch type,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0120,,,Regime hydrostratigrafie,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0121,,,Vertikale doorlatendheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0122,,,Horizontale doorlatendheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,,
skos:Concept,cf:0123,,,Geur - Solventen,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0124,,,Geur - Minerale Olie,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0125,,,Geur - Ondefinieerbaar,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0126,,,Geur - Amoniak,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0127,,,Geur - Brandstofachtige,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0128,,,Geur - Benzine,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0129,,,Geur - Carbolineum,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0130,,,Geur - Chemisch,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0131,,,Geur - Chloor,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0132,,,Geur - Condensaat,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0133,,,Geur - Diesel,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0134,,,Geur - Glycol,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0135,,,Geur - Olie aromaten,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0136,,,Geur - Olie,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0137,,,Geur - Petroleum,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0138,,,Geur - Rotting,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0139,,,Geur - Scherpe geur,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0140,,,Geur - Teer,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0141,,,Geur - Terpentine,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0142,,,Geur - Verf (terpentine basis),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0143,,,Geur - Zoete geur,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0144,,,Geur - Zure geur,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
skos:Concept,cf:0145,,,Geur - Slib,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,,cf:0027
